Total_Error_mm,Percent_Error,Estimate_Type,Fishery
24.30,14.55,Algorithm,Finfish
25.20,15.09,Algorithm,Finfish
26.30,15.75,Algorithm,Finfish
75.40,45.15,Algorithm,Finfish
18.40,11.02,Algorithm,Finfish
8.60,5.15,Algorithm,Finfish
56.30,19.28,Algorithm,Finfish
53.70,18.39,Algorithm,Finfish
22.10,7.57,Algorithm,Finfish
46.70,15.99,Algorithm,Finfish
50.80,17.40,Algorithm,Finfish
40.20,13.77,Algorithm,Finfish
59.40,20.34,Algorithm,Finfish
11.70,4.25,Algorithm,Finfish
42.10,15.31,Algorithm,Finfish
-9.30,-3.38,Algorithm,Finfish
60.10,21.85,Algorithm,Finfish
64.80,23.56,Algorithm,Finfish
-14.00,-5.09,Algorithm,Finfish
67.90,24.69,Algorithm,Finfish
-128.30,-46.65,Algorithm,Finfish
56.70,20.62,Algorithm,Finfish
48.80,15.49,Algorithm,Finfish
34.90,11.08,Algorithm,Finfish
39.90,12.67,Algorithm,Finfish
41.90,13.30,Algorithm,Finfish
65.80,20.89,Algorithm,Finfish
47.00,14.92,Algorithm,Finfish
79.90,25.37,Algorithm,Finfish
57.10,18.13,Algorithm,Finfish
62.50,19.84,Algorithm,Finfish
85.40,27.11,Algorithm,Finfish
-64.90,-30.76,Algorithm,Finfish
25.00,11.85,Algorithm,Finfish
18.50,8.77,Algorithm,Finfish
14.40,6.82,Algorithm,Finfish
9.20,4.36,Algorithm,Finfish
76.90,36.45,Algorithm,Finfish
29.80,14.12,Algorithm,Finfish
33.50,15.88,Algorithm,Finfish
41.30,13.54,Algorithm,Finfish
34.40,11.28,Algorithm,Finfish
68.00,22.30,Algorithm,Finfish
32.70,10.72,Algorithm,Finfish
48.80,16.00,Algorithm,Finfish
52.50,17.21,Algorithm,Finfish
23.20,7.61,Algorithm,Finfish
50.30,14.79,Algorithm,Finfish
25.10,7.38,Algorithm,Finfish
121.20,35.65,Algorithm,Finfish
64.10,18.85,Algorithm,Finfish
35.00,10.29,Algorithm,Finfish
54.10,15.91,Algorithm,Finfish
50.00,14.71,Algorithm,Finfish
43.10,12.68,Algorithm,Finfish
53.50,14.34,Algorithm,Finfish
54.20,14.53,Algorithm,Finfish
72.60,19.46,Algorithm,Finfish
77.00,20.64,Algorithm,Finfish
40.40,10.83,Algorithm,Finfish
46.40,12.44,Algorithm,Finfish
99.20,27.71,Algorithm,Finfish
71.00,19.83,Algorithm,Finfish
30.10,8.41,Algorithm,Finfish
76.50,21.37,Algorithm,Finfish
-171.50,-47.91,Algorithm,Finfish
64.20,17.93,Algorithm,Finfish
90.40,25.25,Algorithm,Finfish
-6.40,-1.56,Algorithm,Finfish
-107.20,-26.15,Algorithm,Finfish
47.90,11.68,Algorithm,Finfish
46.60,11.37,Algorithm,Finfish
86.40,21.07,Algorithm,Finfish
27.40,11.51,Algorithm,Finfish
84.20,35.38,Algorithm,Finfish
8.70,3.66,Algorithm,Finfish
50.20,21.09,Algorithm,Finfish
45.60,19.16,Algorithm,Finfish
107.30,45.08,Algorithm,Finfish
28.30,7.55,Algorithm,Finfish
75.40,20.11,Algorithm,Finfish
55.70,14.85,Algorithm,Finfish
72.30,19.28,Algorithm,Finfish
41.30,11.01,Algorithm,Finfish
58.50,15.60,Algorithm,Finfish
69.90,18.64,Algorithm,Finfish
49.50,23.57,Algorithm,Finfish
16.70,7.95,Algorithm,Finfish
29.80,14.19,Algorithm,Finfish
21.80,10.38,Algorithm,Finfish
22.80,10.86,Algorithm,Finfish
41.60,19.81,Algorithm,Finfish
63.20,30.10,Algorithm,Finfish
36.80,11.57,Algorithm,Finfish
41.70,13.11,Algorithm,Finfish
74.20,23.33,Algorithm,Finfish
46.80,14.72,Algorithm,Finfish
70.10,22.04,Algorithm,Finfish
63.40,19.94,Algorithm,Finfish
43.00,13.52,Algorithm,Finfish
61.60,19.37,Algorithm,Finfish
62.60,19.69,Algorithm,Finfish
54.40,17.11,Algorithm,Finfish
17.10,7.18,Algorithm,Finfish
40.30,16.93,Algorithm,Finfish
25.80,10.84,Algorithm,Finfish
25.90,10.88,Algorithm,Finfish
30.20,12.69,Algorithm,Finfish
29.00,12.18,Algorithm,Finfish
22.70,9.54,Algorithm,Finfish
26.40,11.09,Algorithm,Finfish
53.90,15.95,Algorithm,Finfish
25.10,7.43,Algorithm,Finfish
14.90,4.41,Algorithm,Finfish
126.30,37.37,Algorithm,Finfish
71.90,21.27,Algorithm,Finfish
-8.40,-2.49,Algorithm,Finfish
16.10,4.76,Algorithm,Finfish
50.70,15.00,Algorithm,Finfish
104.60,30.95,Algorithm,Finfish
108.80,32.19,Algorithm,Finfish
21.00,6.21,Algorithm,Finfish
-0.70,-0.18,Algorithm,Finfish
-88.80,-23.37,Algorithm,Finfish
-47.30,-12.45,Algorithm,Finfish
33.90,8.92,Algorithm,Finfish
-157.40,-41.42,Algorithm,Finfish
32.00,8.42,Algorithm,Finfish
-59.90,-15.76,Algorithm,Finfish
-90.90,-23.92,Algorithm,Finfish
99.60,27.29,Algorithm,Finfish
38.80,10.63,Algorithm,Finfish
42.50,11.64,Algorithm,Finfish
58.50,16.03,Algorithm,Finfish
62.20,17.04,Algorithm,Finfish
30.50,8.36,Algorithm,Finfish
-4.30,-1.18,Algorithm,Finfish
81.70,22.38,Algorithm,Finfish
57.70,15.81,Algorithm,Finfish
-25.20,-9.51,Algorithm,Finfish
-120.40,-45.43,Algorithm,Finfish
59.90,22.60,Algorithm,Finfish
-81.90,-30.91,Algorithm,Finfish
66.50,25.09,Algorithm,Finfish
55.70,21.02,Algorithm,Finfish
43.80,16.53,Algorithm,Finfish
28.30,10.68,Algorithm,Finfish
41.70,15.74,Algorithm,Finfish
39.60,14.94,Algorithm,Finfish
30.60,11.55,Algorithm,Finfish
66.10,28.86,Algorithm,Finfish
14.40,6.29,Algorithm,Finfish
23.60,10.31,Algorithm,Finfish
44.60,19.48,Algorithm,Finfish
24.40,10.66,Algorithm,Finfish
41.20,17.99,Algorithm,Finfish
61.10,26.68,Algorithm,Finfish
38.30,16.72,Algorithm,Finfish
52.40,22.88,Algorithm,Finfish
40.10,23.45,Algorithm,Finfish
17.90,10.47,Algorithm,Finfish
51.40,30.06,Algorithm,Finfish
42.80,25.03,Algorithm,Finfish
23.60,13.80,Algorithm,Finfish
158.60,92.75,Algorithm,Finfish
