Date,Vessel,TagID,ImageID,AnglerID,Species,Algorithm_Estimate_mm,Adjusted_Estimate_mm,Scientist_Hand_Measured_TL_mm,Algorithm_Total_Error_mm,Adjusted_Total_Error_mm,Algorithm_Percent_Error,Adjusted_Percent_Error,Include
3/2/20,Outer Limits,18711,375,10,Halfbanded Rockfish,191.30,204.70,167.00,24.30,37.70,14.55,22.57,yes
3/2/20,Outer Limits,18711,63,2,Halfbanded Rockfish,393.40,184.30,167.00,226.40,17.30,135.57,10.36,no
3/2/20,Outer Limits,18711,374,5,Halfbanded Rockfish,157.30,187.90,167.00,-9.70,20.90,-5.81,12.51,no
3/2/20,Outer Limits,18711,479,8,Halfbanded Rockfish,2126.50,192.60,167.00,1959.50,25.60,1173.35,15.33,no
3/2/20,Outer Limits,18711,435,2,Halfbanded Rockfish,192.20,193.90,167.00,25.20,26.90,15.09,16.11,yes
3/2/20,Outer Limits,18711,468,7,Halfbanded Rockfish,539.00,200.80,167.00,372.00,33.80,222.75,20.24,no
3/2/20,Outer Limits,18711,398,11,Halfbanded Rockfish,193.30,188.50,167.00,26.30,21.50,15.75,12.87,yes
3/2/20,Outer Limits,18711,416,6,Halfbanded Rockfish,242.40,202.60,167.00,75.40,35.60,45.15,21.32,yes
3/2/20,Outer Limits,18711,337,2,Halfbanded Rockfish,185.40,186.80,167.00,18.40,19.80,11.02,11.86,yes
3/2/20,Outer Limits,18711,171,1,Halfbanded Rockfish,175.60,179.70,167.00,8.60,12.70,5.15,7.60,yes
3/2/20,Outer Limits,18711,283,8,Halfbanded Rockfish,617.10,197.20,167.00,450.10,30.20,269.52,18.08,no
3/2/20,Outer Limits,18712,186,8,Bocaccio,7027.20,351.20,292.00,6735.20,59.20,2306.58,20.27,no
3/2/20,Outer Limits,18712,394,8,Bocaccio,3232.80,366.80,292.00,2940.80,74.80,1007.12,25.62,no
3/2/20,Outer Limits,18712,255,6,Bocaccio,348.30,348.40,292.00,56.30,56.40,19.28,19.32,yes
3/2/20,Outer Limits,18712,452,11,Bocaccio,345.70,343.50,292.00,53.70,51.50,18.39,17.64,yes
3/2/20,Outer Limits,18712,292,12,Bocaccio,314.10,341.90,292.00,22.10,49.90,7.57,17.09,yes
3/2/20,Outer Limits,18712,280,5,Bocaccio,338.70,349.80,292.00,46.70,57.80,15.99,19.79,yes
3/2/20,Outer Limits,18712,290,2,Bocaccio,342.80,367.50,292.00,50.80,75.50,17.40,25.86,yes
3/2/20,Outer Limits,18712,281,1,Bocaccio,332.20,332.20,292.00,40.20,40.20,13.77,13.77,yes
3/2/20,Outer Limits,18712,12,10,Bocaccio,2140.30,347.70,292.00,1848.30,55.70,632.98,19.08,no
3/2/20,Outer Limits,18712,198,2,Bocaccio,351.40,370.10,292.00,59.40,78.10,20.34,26.75,yes
3/2/20,Outer Limits,18713,193,7,Vermillion Rockfish,286.70,286.70,275.00,11.70,11.70,4.25,4.25,yes
3/2/20,Outer Limits,18713,3,1,Vermillion Rockfish,317.10,316.80,275.00,42.10,41.80,15.31,15.20,yes
3/2/20,Outer Limits,18713,291,11,Vermillion Rockfish,265.70,294.10,275.00,-9.30,19.10,-3.38,6.95,yes
3/2/20,Outer Limits,18713,457,2,Vermillion Rockfish,335.10,323.30,275.00,60.10,48.30,21.85,17.56,yes
3/2/20,Outer Limits,18713,282,10,Vermillion Rockfish,339.80,344.10,275.00,64.80,69.10,23.56,25.13,yes
3/2/20,Outer Limits,18713,274,8,Vermillion Rockfish,261.00,333.70,275.00,-14.00,58.70,-5.09,21.35,yes
3/2/20,Outer Limits,18713,263,2,Vermillion Rockfish,342.90,322.90,275.00,67.90,47.90,24.69,17.42,yes
3/2/20,Outer Limits,18713,404,8,Vermillion Rockfish,337.70,358.90,275.00,62.70,83.90,22.80,30.51,no
3/2/20,Outer Limits,18713,64,7,Vermillion Rockfish,146.70,279.90,275.00,-128.30,4.90,-46.65,1.78,yes
3/2/20,Outer Limits,18713,453,12,Vermillion Rockfish,331.70,320.80,275.00,56.70,45.80,20.62,16.65,yes
3/2/20,Outer Limits,18714,61,10,Bocaccio,2898.90,357.20,315.00,2583.90,42.20,820.29,13.40,no
3/2/20,Outer Limits,18714,477,2,Bocaccio,363.80,372.60,315.00,48.80,57.60,15.49,18.29,yes
3/2/20,Outer Limits,18714,430,5,Bocaccio,349.90,368.30,315.00,34.90,53.30,11.08,16.92,yes
3/2/20,Outer Limits,18714,273,2,Bocaccio,354.90,335.10,315.00,39.90,20.10,12.67,6.38,yes
3/2/20,Outer Limits,18714,480,10,Bocaccio,356.90,359.90,315.00,41.90,44.90,13.30,14.25,yes
3/2/20,Outer Limits,18714,34,8,Bocaccio,380.80,380.20,315.00,65.80,65.20,20.89,20.70,yes
3/2/20,Outer Limits,18714,135,1,Bocaccio,362.00,362.80,315.00,47.00,47.80,14.92,15.17,yes
3/2/20,Outer Limits,18714,243,6,Bocaccio,394.90,352.60,315.00,79.90,37.60,25.37,11.94,yes
3/2/20,Outer Limits,18714,351,11,Bocaccio,372.10,362.70,315.00,57.10,47.70,18.13,15.14,yes
3/2/20,Outer Limits,18714,185,8,Bocaccio,377.50,359.80,315.00,62.50,44.80,19.84,14.22,yes
3/2/20,Outer Limits,18714,313,7,Bocaccio,400.40,357.30,315.00,85.40,42.30,27.11,13.43,yes
3/2/20,Outer Limits,18715,399,7,Starry Rockfish,146.10,224.60,211.00,-64.90,13.60,-30.76,6.45,yes
3/2/20,Outer Limits,18715,310,12,Starry Rockfish,236.00,239.20,211.00,25.00,28.20,11.85,13.36,yes
3/2/20,Outer Limits,18715,446,5,Starry Rockfish,229.50,241.50,211.00,18.50,30.50,8.77,14.45,yes
3/2/20,Outer Limits,18715,388,8,Starry Rockfish,1884.80,235.70,211.00,1673.80,24.70,793.27,11.71,no
3/2/20,Outer Limits,18715,77,1,Starry Rockfish,225.40,232.40,211.00,14.40,21.40,6.82,10.14,yes
3/2/20,Outer Limits,18715,466,11,Starry Rockfish,220.20,219.80,211.00,9.20,8.80,4.36,4.17,yes
3/2/20,Outer Limits,18715,386,6,Starry Rockfish,287.90,238.00,211.00,76.90,27.00,36.45,12.80,yes
3/2/20,Outer Limits,18715,311,2,Starry Rockfish,277.50,251.40,211.00,66.50,40.40,31.52,19.15,no
3/2/20,Outer Limits,18715,226,8,Starry Rockfish,240.80,242.10,211.00,29.80,31.10,14.12,14.74,yes
3/2/20,Outer Limits,18715,172,10,Starry Rockfish,244.50,249.70,211.00,33.50,38.70,15.88,18.34,yes
3/2/20,Outer Limits,18716,37,2,Ocean Whitefish,346.30,348.40,305.00,41.30,43.40,13.54,14.23,yes
3/2/20,Outer Limits,18716,100,12,Ocean Whitefish,339.40,339.40,305.00,34.40,34.40,11.28,11.28,yes
