Record,Specimen_ID,User_ID,Algorithm_Estimate_mm,Adjusted_Estimate_mm,Hand_Measurement_mm,Algorithm_Total_Error_mm,Adjusted_Total_Error_mm,Algorithm_Percent_Error,Adjusted_Percent_Error,Included
2490,90,25,1319.8,232.9,156,1163.8,76.9,746.03,49.29,yes
2,2,1,129.8,117.3,125,4.8,-7.7,3.84,-6.16,no
1490,90,15,1319.8,172.1,156,1163.8,16.1,746.03,10.32,yes
2390,90,24,1319.8,169.6,156,1163.8,13.6,746.03,8.72,yes
890,90,9,1319.8,149.3,156,1163.8,-6.7,746.03,-4.29,yes
990,90,10,1319.8,149.3,156,1163.8,-6.7,746.03,-4.29,yes
883,83,9,750.4,135.3,130,620.4,5.3,477.23,4.08,yes
983,83,10,750.4,135.3,130,620.4,5.3,477.23,4.08,yes
9,9,1,136.2,122.7,125,11.2,-2.3,8.96,-1.84,no
10,10,1,122.5,113.6,115,7.5,-1.4,6.52,-1.22,no
11,11,1,142.9,130.1,131,11.9,-0.9,9.08,-0.69,no
1783,83,18,750.4,133.5,130,620.4,3.5,477.23,2.69,yes
877,77,9,677.7,127.2,155,522.7,-27.8,337.23,-17.94,yes
977,77,10,677.7,127.2,155,522.7,-27.8,337.23,-17.94,yes
995,95,10,558.3,135.3,128,430.3,7.3,336.17,5.7,yes
2489,89,25,554.3,554.3,120,434.3,434.3,361.92,361.92,yes
17,17,1,112.9,112.5,111,1.9,1.5,1.71,1.35,no
989,89,10,554.3,161.2,120,434.3,41.2,361.92,34.33,yes
19,19,1,135.8,135.8,140,-4.2,-4.2,-3,-3,no
20,20,1,131.6,120.2,123,8.6,-2.8,6.99,-2.28,no
889,89,9,554.3,158.8,120,434.3,38.8,361.92,32.33,yes
1489,89,15,554.3,137,120,434.3,17,361.92,14.17,yes
789,89,8,554.3,121.6,120,434.3,1.6,361.92,1.33,yes
24,24,1,120.1,103.3,109,11.1,-5.7,10.18,-5.23,no
869,69,9,523.6,126.6,120,403.6,6.6,336.33,5.5,yes
26,26,1,123.6,113.2,124,-0.4,-10.8,-0.32,-8.71,no
969,69,10,523.6,126.6,120,403.6,6.6,336.33,5.5,yes
2473,73,25,280.5,280.5,137,143.5,143.5,104.74,104.74,yes
273,73,3,280.5,156.4,137,143.5,19.4,104.74,14.16,yes
30,30,1,121.9,109,118,3.9,-9,3.31,-7.63,no
873,73,9,280.5,145.8,137,143.5,8.8,104.74,6.42,yes
2373,73,24,280.5,139.1,137,143.5,2.1,104.74,1.53,yes
33,33,1,137.3,127.6,133,4.3,-5.4,3.23,-4.06,no
2474,74,25,229.3,229.3,146,83.3,83.3,57.05,57.05,yes
35,35,1,136.2,130,125,11.2,5,8.96,4,no
274,74,3,229.3,160.4,146,83.3,14.4,57.05,9.86,yes
974,74,10,229.3,156.2,146,83.3,10.2,57.05,6.99,yes
38,38,1,146,133.2,123,23,10.2,18.7,8.29,no
39,39,1,129.2,121,120,9.2,1,7.67,0.83,no
40,40,1,173.3,148.2,152,21.3,-3.8,14.01,-2.5,no
2074,74,21,229.3,153.3,146,83.3,7.3,57.05,5,yes
872,72,9,205.9,141,147,58.9,-6,40.07,-4.08,yes
43,43,1,117.2,109.4,112,5.2,-2.6,4.64,-2.32,no
972,72,10,205.9,141,147,58.9,-6,40.07,-4.08,yes
781,81,8,195.4,128.6,120,75.4,8.6,62.83,7.17,yes
1140,40,12,173.3,178.4,152,21.3,26.4,14.01,17.37,yes
640,40,7,173.3,163.4,152,21.3,11.4,14.01,7.5,yes
1840,40,19,173.3,161,152,21.3,9,14.01,5.92,yes
940,40,10,173.3,124.6,152,21.3,-27.4,14.01,-18.03,yes
50,50,1,122.2,115.2,120,2.2,-4.8,1.83,-4,no
51,51,1,122.4,115.4,115,7.4,0.4,6.43,0.35,no
682,82,7,165,165,165,0,0,0,0,yes
2482,82,25,165,160.2,165,0,-4.8,0,-2.91,yes
54,54,1,138,134.6,130,8,4.6,6.15,3.54,no
55,55,1,130.3,120.1,130,0.3,-9.9,0.23,-7.62,no
744,44,8,157.5,157.5,145,12.5,12.5,8.62,8.62,yes
57,57,1,130.3,115.8,115,15.3,0.8,13.3,0.7,no
1344,44,14,157.5,155.1,145,12.5,10.1,8.62,6.97,yes
344,44,4,157.5,154.9,145,12.5,9.9,8.62,6.83,yes
1144,44,12,157.5,152,145,12.5,7,8.62,4.83,yes
44,44,1,157.5,149.5,145,12.5,4.5,8.62,3.1,yes
62,62,1,122.4,114.8,126,-3.6,-11.2,-2.86,-8.89,no
63,63,1,127.9,114.3,115,12.9,-0.7,11.22,-0.61,no
644,44,7,157.5,144.2,145,12.5,-0.8,8.62,-0.55,yes
1944,44,20,157.5,143.9,145,12.5,-1.1,8.62,-0.76,yes
144,44,2,157.5,141.8,145,12.5,-3.2,8.62,-2.21,yes
944,44,10,157.5,113.9,145,12.5,-31.1,8.62,-21.45,yes
276,76,3,153.7,147.3,126,27.7,21.3,21.98,16.9,yes
69,69,1,523.6,122.9,120,403.6,2.9,336.33,2.42,no
1876,76,19,153.7,144.2,126,27.7,18.2,21.98,14.44,yes
71,71,1,151.1,129.4,147,4.1,-17.6,2.79,-11.97,no
72,72,1,205.9,146.3,147,58.9,-0.7,40.07,-0.48,no
73,73,1,280.5,147.7,137,143.5,10.7,104.74,7.81,no
74,74,1,229.3,149.9,146,83.3,3.9,57.05,2.67,no
75,75,1,146.6,117.9,110,36.6,7.9,33.27,7.18,no
76,76,1,153.7,136.1,126,27.7,10.1,21.98,8.02,no
77,77,1,677.7,133.4,155,522.7,-21.6,337.23,-13.94,no
78,78,1,148.6,132.6,128,20.6,4.6,16.09,3.59,no
79,79,1,139.1,127.4,129,10.1,-1.6,7.83,-1.24,no
280,80,3,152.6,152.6,128,24.6,24.6,19.22,19.22,yes
81,81,1,195.4,119.3,120,75.4,-0.7,62.83,-0.58,no
82,82,1,165,157.9,165,0,-7.1,0,-4.3,no
83,83,1,750.4,138.4,130,620.4,8.4,477.23,6.46,no
1480,80,15,152.6,152.6,128,24.6,24.6,19.22,19.22,yes
1780,80,18,152.6,152.6,128,24.6,24.6,19.22,19.22,yes
1980,80,20,152.6,152.6,128,24.6,24.6,19.22,19.22,yes
2180,80,22,152.6,152.6,128,24.6,24.6,19.22,19.22,yes
88,88,1,123.9,132.9,163,-39.1,-30.1,-23.99,-18.47,no
89,89,1,554.3,120.3,120,434.3,0.3,361.92,0.25,no
90,90,1,1319.8,149.5,156,1163.8,-6.5,746.03,-4.17,no
2280,80,23,152.6,147.4,128,24.6,19.4,19.22,15.16,yes
92,92,1,135.3,130.1,147,-11.7,-16.9,-7.96,-11.5,no
80,80,1,152.6,145.8,128,24.6,17.8,19.22,13.91,yes
94,94,1,132,121,128,4,-7,3.13,-5.47,no
95,95,1,558.3,511.2,128,430.3,383.2,336.17,299.38,no
680,80,7,152.6,145.2,128,24.6,17.2,19.22,13.44,yes
1380,80,14,152.6,129.1,128,24.6,1.1,19.22,0.86,yes
380,80,4,152.6,127.9,128,24.6,-0.1,19.22,-0.08,yes
99,99,1,124.7,119.6,115,9.7,4.6,8.43,4,no
2380,80,24,152.6,127.7,128,24.6,-0.3,19.22,-0.23,yes
101,1,2,133.1,126.9,128,5.1,-1.1,3.98,-0.86,no
102,2,2,129.8,120.1,125,4.8,-4.9,3.84,-3.92,no
1080,80,11,152.6,127.5,128,24.6,-0.5,19.22,-0.39,yes
580,80,6,152.6,127.1,128,24.6,-0.9,19.22,-0.7,yes
880,80,9,152.6,117.1,128,24.6,-10.9,19.22,-8.52,yes
371,71,4,151.1,154.3,147,4.1,7.3,2.79,4.97,yes
1871,71,19,151.1,150.4,147,4.1,3.4,2.79,2.31,yes
771,71,8,151.1,147.8,147,4.1,0.8,2.79,0.54,yes
109,9,2,136.2,125.6,125,11.2,0.6,8.96,0.48,no
110,10,2,122.5,111.7,115,7.5,-3.3,6.52,-2.87,no
111,11,2,142.9,132,131,11.9,1,9.08,0.76,no
978,78,10,148.6,138,128,20.6,10,16.09,7.81,yes
878,78,9,148.6,136.3,128,20.6,8.3,16.09,6.48,yes
1978,78,20,148.6,123.2,128,20.6,-4.8,16.09,-3.75,yes
115,15,2,109.2,105.4,102,7.2,3.4,7.06,3.33,no
3,3,1,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
117,17,2,112.9,111.5,111,1.9,0.5,1.71,0.45,no
103,3,2,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
119,19,2,135.8,133.2,140,-4.2,-6.8,-3,-4.86,no
120,20,2,131.6,126.4,123,8.6,3.4,6.99,2.76,no
203,3,3,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
303,3,4,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
403,3,5,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
124,24,2,120.1,102.8,109,11.1,-6.2,10.18,-5.69,no
503,3,6,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
126,26,2,123.6,113.8,124,-0.4,-10.2,-0.32,-8.23,no
603,3,7,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
703,3,8,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
1003,3,11,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
130,30,2,121.9,113.3,118,3.9,-4.7,3.31,-3.98,no
1203,3,13,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
1303,3,14,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
133,33,2,137.3,132.6,133,4.3,-0.4,3.23,-0.3,no
1403,3,15,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
135,35,2,136.2,127.6,125,11.2,2.6,8.96,2.08,no
1603,3,17,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
1703,3,18,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
138,38,2,146,131.3,123,23,8.3,18.7,6.75,no
139,39,2,129.2,120,120,9.2,0,7.67,0,no
140,40,2,173.3,157.8,152,21.3,5.8,14.01,3.82,no
1803,3,19,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
1903,3,20,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
143,43,2,117.2,111.9,112,5.2,-0.1,4.64,-0.09,no
2003,3,21,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
2103,3,22,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
2203,3,23,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
2303,3,24,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
2403,3,25,147.6,147.6,140,7.6,7.6,5.43,5.43,yes
803,3,9,147.6,146.4,140,7.6,6.4,5.43,4.57,yes
150,50,2,122.2,119,120,2.2,-1,1.83,-0.83,no
